2005	27.14	27.02	27.54	28.05	28.16	27.91	27.22	26.83	26.67	26.59	26.21	25.83
2006	25.6	26.05	26.53	27.47	27.76	27.78	27.25	27.25	27.38	27.49	27.64	27.69
2007	27.17	26.88	27.11	27.61	27.47	27.52	26.86	26.31	25.71	25.33	25.07	24.98
2008	24.79	25.07	26.09	26.88	27.22	27.24	27.19	26.83	26.47	26.43	26.29	25.69
2009	25.58	26.05	26.54	27.52	28.04	28.17	27.91	27.49	27.43	27.69	28.15	28.4
2010	28	27.94	28.33	28.33	27.72	27.07	26.34	25.55	25.19	25.08	25.08	24.95
2011	24.88	25.5	26.27	27.03	27.34	27.43	27	26.22	25.99	25.81	25.56	25.54
2012	25.65	26.15	26.78	27.48	27.69	27.82	27.66	27.54	27.19	26.96	26.98	26.45
2013	26.16	26.36	27.12	27.69	27.59	27.36	26.94	26.59	26.66	26.49	26.64	26.5
2014	26.16	26.31	27.19	28.05	28.32	28.16	27.36	27.02	27.12	27.22	27.54	27.36
2015	27.17	27.34	27.73	28.67	28.9	28.96	28.78	28.75	28.76	28.94	29.23	29.14
2016	29.14	28.87	28.86	28.82	28.32	27.75	26.97	26.4	26.29	25.99	26.02	26.07
2017	26.24	26.75	27.17	27.99	28.17	27.91	27.44	26.69	26.2	26.21	25.81	25.74
2018	25.72	26.03	26.53	27.41	27.75	27.81	27.49	26.93	27.05	27.57	27.65	27.56
2019	27.09	27.38	28.06	28.44	28.48	28.34	27.64	27.07	26.86	27.29	27.39	27.1
2020	27.22	27.25	27.62	28.26	27.74	27.48	27.18	26.46	26.09	25.54	25.64	25.61
2021	25.54	25.82	26.54	27.22	27.45	27.63	27.03	26.50	26.25	25.95	25.78	25.52
2022	25.81	26.08	26.42	26.86	26.84	26.92	26.67	25.92	25.70	25.74	25.89	25.73
